,State,District,Latitude,Longitude,District code,State name,Population,Male_Literate,Female_Literate,sex_ratio,literacy_rate
327,Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,NAGALAND,196596,63653,53858,93.0,60.0
328,Nagaland,Wokha,26.202611551155112,94.1990815181518,264,NAGALAND,166343,67385,60823,97.0,77.0
329,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,NAGALAND,140757,53504,49377,98.0,73.0
330,Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,ORISSA,2320529,902359,718873,96.0,70.0
331,Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,ORISSA,1506337,596269,497871,98.0,73.0
332,Orissa,Cuttack,20.407640646029623,85.7776810228802,381,ORISSA,2624470,1103033,908436,94.0,77.0
333,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,ORISSA,1192811,464093,365817,95.0,70.0
334,Orissa,Gajapati,19.121080882352945,84.14015091911759,389,ORISSA,577817,153663,108874,104.0,45.0
335,Orissa,Ganjam,19.2632617564534,84.80297710437702,388,ORISSA,3529031,1262652,947398,98.0,63.0
336,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,ORISSA,579505,228092,177787,95.0,70.0
337,Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,ORISSA,1576869,484177,317859,100.0,51.0
338,Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,ORISSA,733110,233900,165886,104.0,55.0
339,Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,ORISSA,1440361,579970,509295,101.0,76.0
340,Orissa,Khordha,20.054162322274863,85.52234834123229,386,ORISSA,2251673,957515,792421,93.0,78.0
341,Orissa,Koraput,18.82627794779476,82.81278469846964,398,ORISSA,1379647,340843,227247,103.0,41.0
342,Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,ORISSA,613192,147001,97705,102.0,40.0
343,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,ORISSA,2519738,794171,575226,101.0,54.0
344,Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,ORISSA,962789,392333,296029,92.0,71.0
345,Orissa,Nuapada,20.471309512195116,82.59152536585364,394,ORISSA,610382,180903,118480,102.0,49.0
346,Orissa,Puri,19.83509174603177,85.86698989898981,387,ORISSA,1698730,704857,587082,96.0,76.0
347,Orissa,Rayagada,19.292840020060204,83.45860120361095,396,ORISSA,967911,241959,165776,105.0,42.0
348,Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,ORISSA,1041099,393192,310499,98.0,68.0
349,Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,ORISSA,2093437,750147,592175,97.0,64.0
350,Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,PONDICHERRY,200222,79903,75013,105.0,77.0
351,Puducherry,Mahe,12.006420793787758,75.28275021570326,636,PONDICHERRY,41816,16610,19860,118.0,87.0
352,Puducherry,Yanam,16.707695652173904,82.26187304347832,634,PONDICHERRY,55626,19919,19355,104.0,71.0
353,Punjab,Amritsar,31.548679820627772,74.79883856502238,49,PUNJAB,2490656,932981,751789,89.0,68.0
354,Punjab,Bathinda,30.190524611973352,75.05685898004438,46,PUNJAB,1388525,488261,356607,87.0,61.0
355,Punjab,Faridkot,30.591187250996025,74.79751553784862,45,PUNJAB,617508,215767,165518,89.0,62.0
356,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,PUNJAB,600163,238696,187337,87.0,71.0
357,Punjab,Firozpur,30.63407535211269,74.40245732394365,43,PUNJAB,2029074,707070,520441,89.0,60.0
358,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,PUNJAB,2298323,907660,727059,90.0,71.0
359,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,PUNJAB,1586625,637927,561772,96.0,76.0
360,Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,PUNJAB,2193590,882581,739956,92.0,74.0
361,Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,PUNJAB,815168,316254,260313,91.0,71.0
362,Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,PUNJAB,3498739,1428348,1131877,87.0,73.0
363,Punjab,Mansa,29.919547714285724,75.4304922857143,47,PUNJAB,769751,244037,179523,88.0,55.0
364,Punjab,Moga,30.756540067340065,75.1600845117845,42,PUNJAB,995746,348549,279340,89.0,63.0
365,Punjab,Muktsar,30.31243303303303,74.5518747747748,44,PUNJAB,901896,300401,224447,90.0,58.0
366,Punjab,Patiala,30.214540380693364,76.27505893949697,48,PUNJAB,1895686,711052,555739,89.0,67.0
367,Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,PUNJAB,684627,278534,224197,92.0,73.0
368,Punjab,Sangrur,30.185045204336895,75.89437014178496,53,PUNJAB,1655169,570413,431664,89.0,61.0
369,Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,RAJASTHAN,2583052,926268,600405,95.0,59.0
370,Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,RAJASTHAN,3674179,1359829,822647,89.0,59.0
371,Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,RAJASTHAN,1797485,513854,315489,98.0,46.0
372,Rajasthan,Baran,24.98023243243244,76.86210651828291,128,RAJASTHAN,1222755,432607,260700,93.0,57.0
373,Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,RAJASTHAN,2603751,783461,404861,90.0,46.0
374,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,RAJASTHAN,2548462,943910,536959,88.0,58.0
375,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,RAJASTHAN,2408523,777582,478544,97.0,52.0
376,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,RAJASTHAN,2363937,782399,496402,91.0,54.0
377,Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,RAJASTHAN,1110906,371705,213339,92.0,53.0
378,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,RAJASTHAN,1544338,514851,306974,97.0,53.0
379,Rajasthan,Churu,28.29330375536484,74.65846427038629,102,RAJASTHAN,2039547,696729,452540,94.0,56.0
380,Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,RAJASTHAN,1634409,596935,341116,91.0,57.0
381,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,RAJASTHAN,1206516,435721,247377,85.0,57.0
382,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,RAJASTHAN,1388552,415820,265771,99.0,49.0
383,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,RAJASTHAN,1969168,710908,482435,89.0,61.0
384,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,RAJASTHAN,1774692,624281,409855,91.0,58.0
385,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,RAJASTHAN,6626178,2554793,1746172,91.0,65.0
386,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,RAJASTHAN,669919,210415,98238,85.0,46.0
387,Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,RAJASTHAN,1828730,543923,285659,95.0,45.0
388,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,RAJASTHAN,1411129,466815,272977,95.0,52.0
389,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,RAJASTHAN,2137045,815834,554526,95.0,64.0
390,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,RAJASTHAN,3687165,1265753,765779,92.0,55.0
391,Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,RAJASTHAN,1458248,531904,273945,86.0,55.0
392,Rajasthan,Kota,25.175718080000014,76.18618928000001,127,RAJASTHAN,1951014,765396,532949,91.0,67.0
393,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,RAJASTHAN,3307743,1102750,655874,95.0,53.0
394,Rajasthan,Pali,25.80490393541874,73.55285640766907,118,RAJASTHAN,2037573,667381,418312,99.0,53.0
395,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,RAJASTHAN,1156597,383334,235805,99.0,54.0
396,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,RAJASTHAN,1335551,486184,255564,90.0,56.0
397,Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,RAJASTHAN,2677333,995275,656842,95.0,62.0
398,Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,RAJASTHAN,1036346,309900,166906,94.0,46.0
399,Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,RAJASTHAN,1421326,478329,271330,95.0,53.0
400,Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,RAJASTHAN,3068420,973444,609185,96.0,52.0
401,Sikkim,East,27.29600352941175,88.74908392156858,93,NCT OF DELHI,1709346,748382,604616,88.0,79.0
402,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,TAMIL NADU,754894,269582,211022,101.0,64.0
403,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,TAMIL NADU,4646732,1968079,1808197,99.0,81.0
404,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,TAMIL NADU,3458045,1394790,1241117,100.0,76.0
405,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,TAMIL NADU,2605914,1000322,814959,99.0,70.0
